pet_id,condition,color_type,length(m),X1,X2,breed_category,pet_category,issue_date_dt,listing_date_dt,date_diff,conditionnan,height(m),color_type_encode
ANSL_69903,0.6666666666666666,Brown Tabby,0.8,0.6842105263157895,1.0,0.0,1,2016-07-10,2016-09-21,0.006718924972004479,0.0,0.061777777777777786,0.18181818181818182
ANSL_66892,0.3333333333333333,White,0.72,0.6842105263157895,1.0,0.0,2,2013-11-21,2018-12-27,0.2293144208037825,0.0,0.2042222222222222,0.4909090909090909
ANSL_69750,1.0,Brown,0.15,0.7894736842105263,0.4444444444444444,2.0,4,2014-09-28,2016-10-19,0.09120318526813488,1.0,0.7977777777777777,0.9636363636363636
ANSL_71623,0.3333333333333333,White,0.62,0.0,0.1111111111111111,0.0,2,2016-12-31,2019-01-25,0.09157645887769068,0.0,0.28488888888888886,0.4909090909090909
ANSL_57969,0.6666666666666666,Black,0.5,0.9473684210526315,0.4444444444444444,0.0,1,2017-09-28,2017-11-19,0.004106009705113848,0.0,0.13466666666666666,0.4727272727272727
ANSL_52200,0.0,Red,0.92,0.0,0.7777777777777778,1.0,2,2017-10-25,2019-03-10,0.05997262660196591,0.0,0.5457777777777777,0.8909090909090909
ANSL_75444,0.6666666666666666,Brown Tabby,0.14,0.0,0.1111111111111111,0.0,1,2018-11-06,2019-04-09,0.0167973124300112,0.0,0.7831111111111111,0.18181818181818182
ANSL_52759,0.0,White,0.15,0.3684210526315789,0.1111111111111111,1.0,1,2018-06-05,2018-09-02,0.008709717556302102,0.0,0.4551111111111112,0.4909090909090909
ANSL_74632,0.6666666666666666,Brown,0.05,0.6842105263157895,1.0,1.0,2,2015-10-10,2016-08-04,0.03483887022520841,0.0,0.7382222222222222,0.9636363636363636
ANSL_56464,0.6666666666666666,Brown,0.55,0.6842105263157895,1.0,1.0,2,2014-02-18,2017-03-17,0.13736468831653603,0.0,0.3613333333333334,0.9636363636363636
ANSL_69485,0.0,Tricolor,0.3,0.0,0.1111111111111111,1.0,2,2004-11-17,2016-12-15,0.5464725643896976,0.0,0.40133333333333326,0.8
ANSL_51014,0.6666666666666666,Brown Tabby,0.44,0.8421052631578947,1.0,1.0,1,2017-06-17,2018-02-08,0.027000124424536517,0.0,0.7848888888888889,0.18181818181818182
ANSL_76771,0.3333333333333333,Black,0.2,0.6842105263157895,1.0,0.0,2,2017-02-07,2019-05-10,0.09991290282443697,0.0,0.5728888888888889,0.4727272727272727
